Property_id,Offer,URL,Property_type,Price,Include_w_e,Title,Area,Governorate,Beds,Baths,Size,Availability_date,Agent_name,Agency,Amenities
2111,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945677.html,Apartment,"BHD151,000",Exclusive,Bahrain bay 2br fullyfurnished apartment for sale,Bahrain Bay,Capital Governorate,2,3,"1,119 sqft / 104 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,16
2112,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945675.html,Apartment,"BHD99,500",Exclusive,full sea view 1br apartment for sale-Bahrain bay,Bahrain Bay,Capital Governorate,1,2,861 sqft / 80 sqm,16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,14
2113,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945673.html,Apartment,"BHD450,000",Exclusive,Bahrain Bay – Luxurious 3.5BR Penthouse/Apartmen,Bahrain Bay,Capital Governorate,3+ Maid,5,"2,400 sqft / 223 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,17
2114,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945672.html,Apartment,"BHD68,000",Exclusive,"Bahrainbay- sea view 1br/studio for sale 68,000BD",Bahrain Bay,Capital Governorate,1,1,560 sqft / 52 sqm,16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,16
2115,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945671.html,Apartment,"BHD116,000",Exclusive,Hot deal -Bahrain Bay 2.5br with balcony 116k,Bahrain Bay,Capital Governorate,2,4,"1,378 sqft / 128 sqm",26 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,13
2116,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-hidd-945637.html,Apartment,"BHD75,000",Exclusive,BRAND NEW| SEA VIEW | SPACIOUS LAYOUT | BALCONIES,Hidd,Muharraq Governorate,4,5,"2,551 sqft / 237 sqm",17 Aug 2025,Aneela Mukhtar,Wise Rise Real Estate,2
2117,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-manama-water-garden-city-945636.html,Apartment,"BHD122,000",Exclusive,LARGE TERRACE | 1 BR | BEACH ACCESS | SEA VIEW,"Water Garden City, Manama",Capital Governorate,1,2,"1,130 sqft / 105 sqm",17 Aug 2025,Raheel Saeed,Oxus Realty,20
2118,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-seef-945630.html,Apartment,"BHD159,000",Exclusive,Seef Freehold 2br apartment with ready to move in,Seef,Capital Governorate,2,3,"1,561 sqft / 145 sqm",16 Jun 2025,Rupal Dhakan,Americana Real Estate W.L.L,14
2119,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-seef-945616.html,Apartment,"BHD89,000",Exclusive,1br Brand New Freehold-stylish apartment+ balcony,Seef,Capital Governorate,1,2,818 sqft / 76 sqm,16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,15
2120,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-seef-945615.html,Apartment,"BHD128,000",Exclusive,Seef- Ready to move in 2br apartment for sale,Seef,Capital Governorate,2+ Maid,3,"1,292 sqft / 120 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,15
2121,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-seef-945613.html,Apartment,"BHD142,000",Exclusive,"Rented Freehold 2br apartment,Title deed is ready",Seef,Capital Governorate,2,3,"1,572 sqft / 146 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,14
